state,abbr,modern_signal,estimated_septic_count_medium,count_rank,density_rank,modeled_density_per_sqkm,predicted_septic_block_group_pct,parcel_gap_pct,confidence_note,urban_suburban_caution,best_next_step
Idaho,ID,Moderate localized signal,294190,36,40,1.36,39.9,0.7,"Good planning signal, but property records are still needed for an address-level answer.","In Idaho, a lower statewide signal does not rule out septic on a specific property, especially outside confirmed municipal sewer service.","Do not rely on the state average. Verify the property through sewer billing, local records, disclosures, 811, and septic-specific locating when the work area is uncertain."
Illinois,IL,"Lower statewide signal, still property-specific",1019093,15,24,6.98,19.4,0.0,"Good planning signal, but property records are still needed for an address-level answer.","In Illinois, a lower statewide signal does not rule out septic on a specific property, especially outside confirmed municipal sewer service.","Do not rely on the state average. Verify the property through sewer billing, local records, disclosures, 811, and septic-specific locating when the work area is uncertain."
Indiana,IN,Moderate localized signal,1008263,16,13,10.76,35.0,0.0,"Good planning signal, but property records are still needed for an address-level answer.","In Indiana, a lower statewide signal does not rule out septic on a specific property, especially outside confirmed municipal sewer service.","Do not rely on the state average. Verify the property through sewer billing, local records, disclosures, 811, and septic-specific locating when the work area is uncertain."
Iowa,IA,Strong rural or county-level signal,725850,22,29,4.98,48.9,0.0,"Good planning signal, but property records are still needed for an address-level answer.","Iowa has a strong rural or historical septic signal, but the same records-first logic also applies near town edges and partially sewered communities.","Treat septic location as a real planning issue before posts, trenches, grading, pools, sheds, additions, or landscaping. Check records, call 811, and locate private septic components when layout is unclear."
Kansas,KS,Moderate localized signal,487546,27,36,2.29,35.1,0.0,"Good planning signal, but property records are still needed for an address-level answer.","In Kansas, a lower statewide signal does not rule out septic on a specific property, especially outside confirmed municipal sewer service.","Do not rely on the state average. Verify the property through sewer billing, local records, disclosures, 811, and septic-specific locating when the work area is uncertain."
Kentucky,KY,Strong rural or county-level signal,970734,17,17,9.28,51.2,1.5,"Good planning signal, but property records are still needed for an address-level answer.","Kentucky has a strong rural or historical septic signal, but the same records-first logic also applies near town edges and partially sewered communities.","Treat septic location as a real planning issue before posts, trenches, grading, pools, sheds, additions, or landscaping. Check records, call 811, and locate private septic components when layout is unclear."
Louisiana,LA,Moderate localized signal,670131,24,27,5.49,37.8,1.7,"Good planning signal, but property records are still needed for an address-level answer.","In Louisiana, a lower statewide signal does not rule out septic on a specific property, especially outside confirmed municipal sewer service.","Do not rely on the state average. Verify the property through sewer billing, local records, disclosures, 811, and septic-specific locating when the work area is uncertain."
Maine,ME,Strong rural or county-level signal,356848,33,31,4.2,67.5,12.0,Use extra caution: parcel-data gaps may undercount septic systems in parts of this state.,"Maine has a strong rural or historical septic signal, but the same records-first logic also applies near town edges and partially sewered communities.","Start with local health department or county records because the modeled data may undercount some areas. Use septic-specific locating if records do not show the tank, lines, or field."
Maryland,MD,Urban/suburban hidden-septic signal,420221,30,5,15.77,18.9,0.3,"Good planning signal, but property records are still needed for an address-level answer.","Maryland has developed-looking areas where septic can still be overlooked, especially older suburbs, coastal or lake communities, large-lot neighborhoods, and sewer-edge streets.","Confirm the home has a municipal sewer account or connection record, then check local records before digging. Call 811, but do not assume 811 marks private septic components."
Massachusetts,MA,Urban/suburban hidden-septic signal,401601,31,3,18.92,14.3,0.1,"Good planning signal, but property records are still needed for an address-level answer.","Massachusetts has developed-looking areas where septic can still be overlooked, especially older suburbs, coastal or lake communities, large-lot neighborhoods, and sewer-edge streets.","Confirm the home has a municipal sewer account or connection record, then check local records before digging. Call 811, but do not assume 811 marks private septic components."
Michigan,MI,High total exposure signal,1409157,5,16,9.34,30.8,0.6,"Good planning signal, but property records are still needed for an address-level answer.","Michigan has enough modeled septic exposure that city edges, fast-growing suburbs, and older subdivisions should still be checked before digging.","Treat septic location as a real planning issue before posts, trenches, grading, pools, sheds, additions, or landscaping. Check records, call 811, and locate private septic components when layout is unclear."
Minnesota,MN,Moderate localized signal,886388,19,32,4.06,33.9,0.0,"Good planning signal, but property records are still needed for an address-level answer.","In Minnesota, a lower statewide signal does not rule out septic on a specific property, especially outside confirmed municipal sewer service.","Do not rely on the state average. Verify the property through sewer billing, local records, disclosures, 811, and septic-specific locating when the work area is uncertain."
Mississippi,MS,Strong rural or county-level signal,772288,20,25,6.25,59.0,0.1,"Good planning signal, but property records are still needed for an address-level answer.","Mississippi has a strong rural or historical septic signal, but the same records-first logic also applies near town edges and partially sewered communities.","Treat septic location as a real planning issue before posts, trenches, grading, pools, sheds, additions, or landscaping. Check records, call 811, and locate private septic components when layout is unclear."
Missouri,MO,Moderate localized signal,1033568,14,26,5.72,37.2,0.0,"Good planning signal, but property records are still needed for an address-level answer.","In Missouri, a lower statewide signal does not rule out septic on a specific property, especially outside confirmed municipal sewer service.","Do not rely on the state average. Verify the property through sewer billing, local records, disclosures, 811, and septic-specific locating when the work area is uncertain."
Montana,MT,Strong rural or county-level signal,280418,39,46,0.74,51.2,0.1,"Good planning signal, but property records are still needed for an address-level answer.","Montana has a strong rural or historical septic signal, but the same records-first logic also applies near town edges and partially sewered communities.","Treat septic location as a real planning issue before posts, trenches, grading, pools, sheds, additions, or landscaping. Check records, call 811, and locate private septic components when layout is unclear."
Nebraska,NE,Moderate localized signal,353516,34,37,1.76,35.4,0.0,"Good planning signal, but property records are still needed for an address-level answer.","In Nebraska, a lower statewide signal does not rule out septic on a specific property, especially outside confirmed municipal sewer service.","Do not rely on the state average. Verify the property through sewer billing, local records, disclosures, 811, and septic-specific locating when the work area is uncertain."
Nevada,NV,"Lower statewide signal, still property-specific",123250,46,48,0.43,11.8,0.2,"Good planning signal, but property records are still needed for an address-level answer.","In Nevada, a lower statewide signal does not rule out septic on a specific property, especially outside confirmed municipal sewer service.","Do not rely on the state average. Verify the property through sewer billing, local records, disclosures, 811, and septic-specific locating when the work area is uncertain."
New Hampshire,NH,High density and strong local septic signal,280747,38,10,11.68,51.6,0.2,"Good planning signal, but property records are still needed for an address-level answer.","New Hampshire has a strong rural or historical septic signal, but the same records-first logic also applies near town edges and partially sewered communities.","Treat septic location as a real planning issue before posts, trenches, grading, pools, sheds, additions, or landscaping. Check records, call 811, and locate private septic components when layout is unclear."
New Jersey,NJ,Urban/suburban hidden-septic signal,301644,35,6,14.98,9.1,0.2,"Good planning signal, but property records are still needed for an address-level answer.","New Jersey has developed-looking areas where septic can still be overlooked, especially older suburbs, coastal or lake communities, large-lot neighborhoods, and sewer-edge streets.","Confirm the home has a municipal sewer account or connection record, then check local records before digging. Call 811, but do not assume 811 marks private septic components."
New Mexico,NM,Moderate localized signal,264613,40,45,0.84,35.7,5.1,Moderate confidence: some parcel-data gaps may affect local estimates.,"In New Mexico, a lower statewide signal does not rule out septic on a specific property, especially outside confirmed municipal sewer service.","Do not rely on the state average. Verify the property through sewer billing, local records, disclosures, 811, and septic-specific locating when the work area is uncertain."
New York,NY,Urban/suburban hidden-septic signal,1300573,7,15,10.24,17.6,0.3,"Good planning signal, but property records are still needed for an address-level answer.","New York has developed-looking areas where septic can still be overlooked, especially older suburbs, coastal or lake communities, large-lot neighborhoods, and sewer-edge streets.","Confirm the home has a municipal sewer account or connection record, then check local records before digging. Call 811, but do not assume 811 marks private septic components."
North Carolina,NC,High density and strong local septic signal,1919660,2,7,14.93,45.3,0.8,"Good planning signal, but property records are still needed for an address-level answer.","North Carolina has enough modeled septic exposure that city edges, fast-growing suburbs, and older subdivisions should still be checked before digging.","Treat septic location as a real planning issue before posts, trenches, grading, pools, sheds, additions, or landscaping. Check records, call 811, and locate private septic components when layout is unclear."
North Dakota,ND,Strong rural or county-level signal,178806,44,43,0.98,47.9,0.3,"Good planning signal, but property records are still needed for an address-level answer.","North Dakota has a strong rural or historical septic signal, but the same records-first logic also applies near town edges and partially sewered communities.","Treat septic location as a real planning issue before posts, trenches, grading, pools, sheds, additions, or landscaping. Check records, call 811, and locate private septic components when layout is unclear."
Ohio,OH,Urban/suburban hidden-septic signal,1470026,4,8,13.76,27.4,0.0,"Good planning signal, but property records are still needed for an address-level answer.","Ohio has developed-looking areas where septic can still be overlooked, especially older suburbs, coastal or lake communities, large-lot neighborhoods, and sewer-edge streets.","Confirm the home has a municipal sewer account or connection record, then check local records before digging. Call 811, but do not assume 811 marks private septic components."
Oklahoma,OK,Moderate localized signal,771393,21,30,4.26,40.3,0.0,"Good planning signal, but property records are still needed for an address-level answer.","In Oklahoma, a lower statewide signal does not rule out septic on a specific property, especially outside confirmed municipal sewer service.","Do not rely on the state average. Verify the property through sewer billing, local records, disclosures, 811, and septic-specific locating when the work area is uncertain."
Oregon,OR,Moderate localized signal,421809,29,39,1.68,27.3,0.0,"Good planning signal, but property records are still needed for an address-level answer.","In Oregon, a lower statewide signal does not rule out septic on a specific property, especially outside confirmed municipal sewer service.","Do not rely on the state average. Verify the property through sewer billing, local records, disclosures, 811, and septic-specific locating when the work area is uncertain."
Pennsylvania,PA,Urban/suburban hidden-septic signal,1543260,3,9,13.15,28.0,0.1,"Good planning signal, but property records are still needed for an address-level answer.","Pennsylvania has developed-looking areas where septic can still be overlooked, especially older suburbs, coastal or lake communities, large-lot neighborhoods, and sewer-edge streets.","Confirm the home has a municipal sewer account or connection record, then check local records before digging. Call 811, but do not assume 811 marks private septic components."
Rhode Island,RI,Urban/suburban hidden-septic signal,55386,48,2,19.47,12.1,0.9,"Good planning signal, but property records are still needed for an address-level answer.","Rhode Island has developed-looking areas where septic can still be overlooked, especially older suburbs, coastal or lake communities, large-lot neighborhoods, and sewer-edge streets.","Confirm the home has a municipal sewer account or connection record, then check local records before digging. Call 811, but do not assume 811 marks private septic components."
South Carolina,SC,High density and strong local septic signal,904483,18,12,11.22,47.0,0.8,"Good planning signal, but property records are still needed for an address-level answer.","South Carolina has a strong rural or historical septic signal, but the same records-first logic also applies near town edges and partially sewered communities.","Treat septic location as a real planning issue before posts, trenches, grading, pools, sheds, additions, or landscaping. Check records, call 811, and locate private septic components when layout is unclear."
South Dakota,SD,Strong rural or county-level signal,227828,41,42,1.14,55.8,2.0,"Good planning signal, but property records are still needed for an address-level answer.","South Dakota has a strong rural or historical septic signal, but the same records-first logic also applies near town edges and partially sewered communities.","Treat septic location as a real planning issue before posts, trenches, grading, pools, sheds, additions, or landscaping. Check records, call 811, and locate private septic components when layout is unclear."
Tennessee,TN,High total and high density signal,1243491,8,11,11.4,42.8,0.3,"Good planning signal, but property records are still needed for an address-level answer.","Tennessee has enough modeled septic exposure that city edges, fast-growing suburbs, and older subdivisions should still be checked before digging.","Treat septic location as a real planning issue before posts, trenches, grading, pools, sheds, additions, or landscaping. Check records, call 811, and locate private septic components when layout is unclear."
Texas,TX,High total exposure signal,2563936,1,34,3.73,21.8,0.0,"Good planning signal, but property records are still needed for an address-level answer.","Texas has enough modeled septic exposure that city edges, fast-growing suburbs, and older subdivisions should still be checked before digging.","Treat septic location as a real planning issue before posts, trenches, grading, pools, sheds, additions, or landscaping. Check records, call 811, and locate private septic components when layout is unclear."
Utah,UT,"Lower statewide signal, still property-specific",198702,43,44,0.9,17.4,1.4,"Good planning signal, but property records are still needed for an address-level answer.","In Utah, a lower statewide signal does not rule out septic on a specific property, especially outside confirmed municipal sewer service.","Do not rely on the state average. Verify the property through sewer billing, local records, disclosures, 811, and septic-specific locating when the work area is uncertain."
Vermont,VT,Strong rural or county-level signal,203162,42,21,8.16,70.8,0.9,"Good planning signal, but property records are still needed for an address-level answer.","Vermont has a strong rural or historical septic signal, but the same records-first logic also applies near town edges and partially sewered communities.","Treat septic location as a real planning issue before posts, trenches, grading, pools, sheds, additions, or landscaping. Check records, call 811, and locate private septic components when layout is unclear."
Virginia,VA,Moderate localized signal,1078392,13,14,10.29,30.8,0.9,"Good planning signal, but property records are still needed for an address-level answer.","In Virginia, a lower statewide signal does not rule out septic on a specific property, especially outside confirmed municipal sewer service.","Do not rely on the state average. Verify the property through sewer billing, local records, disclosures, 811, and septic-specific locating when the work area is uncertain."
Washington,WA,"Lower statewide signal, still property-specific",659151,25,33,3.76,22.2,0.4,"Good planning signal, but property records are still needed for an address-level answer.","In Washington, a lower statewide signal does not rule out septic on a specific property, especially outside confirmed municipal sewer service.","Do not rely on the state average. Verify the property through sewer billing, local records, disclosures, 811, and septic-specific locating when the work area is uncertain."
West Virginia,WV,Strong rural or county-level signal,557298,26,19,8.88,61.6,0.0,"Good planning signal, but property records are still needed for an address-level answer.","West Virginia has a strong rural or historical septic signal, but the same records-first logic also applies near town edges and partially sewered communities.","Treat septic location as a real planning issue before posts, trenches, grading, pools, sheds, additions, or landscaping. Check records, call 811, and locate private septic components when layout is unclear."
Wisconsin,WI,Moderate localized signal,1098433,12,23,7.56,38.4,0.1,"Good planning signal, but property records are still needed for an address-level answer.","In Wisconsin, a lower statewide signal does not rule out septic on a specific property, especially outside confirmed municipal sewer service.","Do not rely on the state average. Verify the property through sewer billing, local records, disclosures, 811, and septic-specific locating when the work area is uncertain."
Wyoming,WY,Strong rural or county-level signal,133212,45,47,0.53,49.0,1.8,"Good planning signal, but property records are still needed for an address-level answer.","Wyoming has a strong rural or historical septic signal, but the same records-first logic also applies near town edges and partially sewered communities.","Treat septic location as a real planning issue before posts, trenches, grading, pools, sheds, additions, or landscaping. Check records, call 811, and locate private septic components when layout is unclear."
